Email,First Name,Last Name,Company,Website,Phone,Address,Title,fitScore,fitLabel,status,sentAt,LinkedIn,Segment,Priority,EmailType,resendId,resendStatus,deliveryStatus,resendCreatedAt,resendScheduledAt,resendLastSyncedAt,resendSubject,resendFrom,resendTo,resendError
info@servicetoday.com.au,,,Service Today Plumber Parramatta,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0420 102 338,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Hydrolink Plumbing & Gas Heater Services Sydney,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0433 629 517,", Level 14, 3 Parramatta Square, 153 Macquarie St, Parramatta NSW 2150",Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Precision Plumbing Parramatta,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0415 228 563,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Parramatta Plumbing Services,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0468 175 127,", 32 Hunter St, Parramatta NSW 2150",Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Graham and Sons Plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, (02) 9199 7430,", 28 Oak St, Rosehill NSW 2142",Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,All Clear Maintenance Plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 1800 425 525,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Aptec Plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0420 507 300,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Berto's Plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0422 273 171,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Gihon plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 0493 502 412,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
info@servicetoday.com.au,,,Blast It Plumbing,https://www.servicetoday.com.au/plumbers/plumber-sydney/plumber-parramatta/, 1300 987 082,Parramatta NSW Australia,Business Owner / Managing Director,92,High,pending,,,Plumbing & Trades,High,Personalized,,,,,,,,,,
